Question,Answer,Category
How many annual leave days do I get?,You are entitled to 20 days of paid annual leave per year (pro-rated in your first year).,Leave
Can I carry over unused leave to next year?,You may carry over up to 5 unused leave days into the following calendar year.,Leave
How do I apply for leave?,Submit a leave request via the HR portal at least 5 working days in advance for planned leave.,Leave
What happens to leave I haven't used by year end?,Leave not carried over or taken by 31 December is forfeited unless a manager exception is approved.,Leave
What is the probation period?,The standard probation period is 3 months from your start date. It may be extended by up to 3 months.,Employment
Can my probation be extended?,Yes. Your manager must notify you in writing at least 2 weeks before the original end date.,Employment
How do I claim expenses?,Submit expense claims via the finance portal within 30 days of the expense date.,Finance
What receipts do I need for expenses?,Original receipts are required for all expenses above GBP 10. Digital receipts are accepted.,Finance
What is the parental leave entitlement?,Primary caregivers receive 16 weeks fully paid; secondary caregivers receive 4 weeks fully paid.,Leave
How do I notify HR of parental leave?,Submit a parental leave notification via the HR portal at least 8 weeks before your intended start date.,Leave
How do I update my personal details?,Log into the HR portal and navigate to My Profile then Personal Details.,HR Portal
Can I change my bank details for payroll?,Yes. Update bank details via the HR portal at least 5 working days before the payroll cutoff.,Payroll
What is the dress code policy?,Smart casual attire is required Monday to Thursday. Casual Friday is permitted but professional appearance must be maintained.,Policy
Is there a remote working dress code?,When on video calls with clients you must wear business appropriate attire regardless of location.,Policy
How often are performance reviews conducted?,Performance reviews are conducted bi-annually in June and December.,Performance
How are performance ratings determined?,Ratings are based on objective achievement and behavioural competencies assessed by your line manager.,Performance
What health benefits are provided?,All employees receive private health insurance including dental and optical cover from Day 1 of employment.,Benefits
Is there a pension scheme?,Yes. All employees are automatically enrolled in the company pension scheme from Day 1.,Benefits
What is the pension contribution rate?,The company contributes 5 percent of your base salary. Employees contribute a minimum of 3 percent.,Benefits
Can I work from home?,Yes. The company supports hybrid working with a minimum of 3 days per week in the office.,Work Arrangements
How do I request a permanent remote working arrangement?,Submit a flexible working request to HR at least 8 weeks in advance. Approval depends on role requirements.,Work Arrangements
What is the process for raising a grievance?,Contact your HR Business Partner or use the anonymous ethics hotline at ethics@optiagent.com.,HR Process
How is overtime compensated?,Overtime is compensated at 1.5 times your standard hourly rate for hours exceeding 40 in a given week.,Compensation
When is payday?,Salaries are paid on the last working day of each calendar month.,Payroll
What if I have a payroll query?,Contact payroll@optiagent.com with your employee ID and the specific query at least 5 days before payday.,Payroll
How do I apply for internal roles?,Internal vacancies are posted on the HR portal. Apply via the portal and notify your manager before the closing date.,Career
