Question,Answer,Category,Related Document,Keywords,Department,Difficulty
How do I submit an expense claim?,Log in to Workday > Pay > Expense > Create Expense Report. Attach receipts for all items USD 25 and above. Submit within 30 days of incurring the expense. See Expense_Guidelines.txt Part 1 for step-by-step instructions.,Expenses,Expense Guidelines,expense claim submit Workday,All,Easy
What receipts do I need for expense claims?,You need an itemized receipt (not a credit card statement) for any item USD 25 or above. For items under USD 25 a receipt is recommended but a missing receipt declaration is accepted (max 3 per expense report). See Expense_Guidelines.txt Part 1.,Expenses,Expense Guidelines,receipts expense claim,All,Easy
Can I submit a credit card statement as a receipt?,No. A credit card statement only confirms payment but does not itemize what was purchased. You must attach the original merchant receipt or invoice. If the original is lost contact the vendor for a duplicate.,Expenses,Expense Guidelines,credit card statement receipt,All,Easy
What is the deadline for submitting expense claims?,Expense claims must be submitted within 30 calendar days of the expense date. Claims after 30 days require manager justification. Claims after 90 days will generally be rejected and require Finance Director approval. See Finance_Policy.docx Section 4.1.,Expenses,Finance Policy,expense claim deadline 30 days,All,Easy
How long does reimbursement take?,After manager approval Finance processes payment: USA employees are reimbursed via ACH within 2 pay cycles (approximately 15 days). UK, Germany, Singapore, and India employees receive reimbursement via monthly payroll. See Expense_Guidelines.txt Part 1.,Expenses,Expense Guidelines,reimbursement timeline payment,All,Easy
What is the meal expense limit for client dinners?,USD 100 per person for client/customer meals (Director+ limit is USD 150 per person). You must list all attendee names and their companies plus a business purpose in the expense claim. See Finance_Policy.docx Section 4.3.,Expenses,Finance Policy,meal expense client dinner limit,All,Easy
What is the internal team meal limit?,USD 30 per person for internal team meals. A business meeting must have taken place and be documented. Casual team lunches without a formal agenda are not reimbursable. See Expense_Guidelines.txt Part 2.,Expenses,Expense Guidelines,team meal internal limit,All,Easy
Can I claim alcohol in a meal expense?,Alcohol is permitted within the meal limits (USD 100/person for client meals; USD 30/person for internal). Excessive alcohol is not reimbursable and may be a conduct issue. See Expense_Guidelines.txt Part 5.,Expenses,Expense Guidelines,alcohol meal expense,All,Medium
What is the hotel limit in New York or San Francisco?,The hotel limit in Tier 1 cities (NYC, SF, London, Singapore) is USD 300 per night. If all hotels within the limit are unavailable during a major event get manager approval before booking above the limit. See Finance_Policy.docx Section 4.3.,Travel,Finance Policy,hotel limit NYC San Francisco,All,Easy
What is the per diem rate for the USA?,USD 75 per day for standard employees. Director and above: USD 100 per day. High-cost US cities (NYC, SF, DC, Boston) may receive up to USD 100 with manager approval. Per diem covers meals and incidentals — you cannot also claim itemized receipts for the same day. See Expense_Guidelines.txt Part 3.,Travel,Expense Guidelines,per diem USA rate,All,Easy
