Date,Holiday,Type,Office_Status,Notes
2026-01-01,New Year's Day,Public Holiday,Closed,All offices closed
2026-01-02,New Year's Day (Scotland),Public Holiday,Regional,Edinburgh office closed only
2026-04-03,Good Friday,Public Holiday,Closed,All offices closed
2026-04-06,Easter Monday,Public Holiday,Closed,All offices closed (England and Wales)
2026-05-04,Early May Bank Holiday,Public Holiday,Closed,All offices closed
2026-05-25,Spring Bank Holiday,Public Holiday,Closed,All offices closed
2026-08-31,Summer Bank Holiday,Public Holiday,Closed,All offices closed (England and Wales)
2026-08-03,Summer Bank Holiday (Scotland),Public Holiday,Regional,Edinburgh office closed only
2026-11-30,St Andrew's Day,Public Holiday,Regional,Edinburgh office closed only
2026-12-25,Christmas Day,Public Holiday,Closed,All offices closed
2026-12-28,Boxing Day (Observed),Public Holiday,Closed,All offices closed
2026-07-01,Company Summer Away Day,Company Holiday,Closed,Annual all-company team building day
2026-09-15,Team Building Afternoon,Company Event,Early Close,Offices close at 13:00
2026-10-31,Halloween Social,Company Event,Normal,Optional after-work event 18:00
2026-12-18,Christmas Party,Company Event,Early Close,Offices close at 15:00 for annual party
