Question,Answer,Category,Related Document,Keywords,Department,Difficulty
How many annual leave days do employees receive?,Annual leave entitlement varies by country and grade. India: 18 days; USA: 15 days (accrued); UK: 25 days; Germany: 28 days; Singapore: 14–18 days. See the Leave Policy (HR-LP-001) for full country-specific tables.,Leave,Leave Policy,annual leave days entitlement,All,Easy
How do I apply for annual leave?,Log in to Workday > Time Off > Request Time Off. Select 'Annual Leave' as the type and submit. Your manager will receive an automated approval request. See Leave Policy Section 3.,Leave,Leave Policy,apply annual leave Workday,All,Easy
Who approves my leave request?,"Your direct manager (People Manager) approves all leave requests in Workday. For absences longer than 10 consecutive days, HR Business Partner co-approval is required. See Leave Policy Section 5.2.",Leave,Leave Policy,leave approval manager,All,Easy
Can I carry forward unused annual leave to the next year?,Yes. USA employees may carry forward up to 5 days. India employees may carry forward up to 15 days. UK employees may carry forward up to 5 days with manager approval. Germany: up to the legal maximum per the Bundesurlaubsgesetz. See Leave Policy Section 8.,Leave,Leave Policy,carry forward annual leave,All,Medium
What happens to my unused leave when I resign?,Upon resignation you will receive a payout for accrued but unused annual leave at your base daily rate. The exact calculation is in Leave Policy Section 9 (Leave Encashment). India employees must have completed at least one year of service to be eligible.,Leave,Leave Policy,unused leave resignation encashment,All,Medium
How many sick leave days do I get?,India: 12 days per year. USA: 10 days per year (or as per state law if greater). UK: Covered under SSP after a waiting period; company provides 10 days full pay sick leave annually. Germany: Unlimited per law (Entgeltfortzahlungsgesetz) subject to medical certification after 3 days. Singapore: 14 days outpatient + 60 days hospitalization. See Leave Policy Section 4.,Leave,Leave Policy,sick leave days entitlement,All,Easy
Do I need a doctor's note for sick leave?,For absences of 1–2 days: self-certification is accepted. For absences of 3 or more consecutive days: a medical certificate from a registered physician is required and must be uploaded to Workday within 2 business days of your return. See Leave Policy Section 4.3.,Leave,Leave Policy,medical certificate sick leave,All,Easy
What is emergency leave?,Emergency leave is up to 3 days of paid leave granted for unforeseen personal situations such as a natural disaster affecting your home or a serious accident involving an immediate family member. It does not cover bereavement — see bereavement leave for that. See Leave Policy Section 5.,Leave,Leave Policy,emergency leave definition,All,Easy
How many days of bereavement leave am I entitled to?,"Immediate family (spouse, child, parent, sibling): 5 days paid. Extended family (grandparent, in-law, aunt/uncle): 3 days paid. Close friend or non-listed relation: 1 day with manager discretion. See Leave Policy Section 6.",Leave,Leave Policy,bereavement leave family death,All,Easy
What is the maternity leave policy?,India: 26 weeks (182 days) for first and second child; 12 weeks for third+ child (per Maternity Benefit Act). UK: Up to 52 weeks statutory; OptiAgent provides 16 weeks at full pay. USA: 16 weeks at full pay via company policy. Germany: 14 weeks statutory (Mutterschutzgesetz); OptiAgent tops up to 100% of salary for the full period. Singapore: 16 weeks for Singapore citizen child; 8 weeks for non-citizen. See Leave Policy Section 7.,Leave,Leave Policy,maternity leave weeks entitlement,All,Easy
How do I notify HR about maternity leave?,Notify your manager and HR Business Partner at least 8 weeks before your planned start date. Submit a formal leave request in Workday with your expected start and return dates. Attach your medical certificate confirming pregnancy and due date. See Leave Policy Section 7.4.,Leave,Leave Policy,maternity leave notification,All,Easy
What is the paternity leave policy?,India: 5 days paid. UK: Up to 2 weeks statutory; OptiAgent provides 4 weeks at full pay. USA: 4 weeks at full pay. Germany: No statutory paternity leave; OptiAgent provides 2 weeks at full pay. Singapore: 2 weeks paid (government-paid for Singapore citizen child). See Leave Policy Section 7.5.,Leave,Leave Policy,paternity leave days,All,Easy
Is adoption leave available?,Yes. The primary caregiver receives the same entitlement as maternity leave in each country. Secondary caregivers receive the same entitlement as paternity leave. See Leave Policy Section 7.6.,Leave,Leave Policy,adoption leave,All,Medium
Can I take study leave?,Yes. Full-time courses leading to a recognized qualification relevant to your role: up to 5 days paid study leave per exam/assessment event. Part-time study assistance is at manager discretion. See Leave Policy Section 10.,Leave,Leave Policy,study leave education,All,Medium
What is compensatory off (Comp Off)?,If you are required to work on a declared company holiday or a weekend specifically requested by your manager with prior HR approval you are entitled to a compensatory day off to be taken within 60 days. See Leave Policy Section 11.,Leave,Leave Policy,compensatory off comp off,All,Medium
Can I work remotely from another country?,"Remote work from a country other than your country of employment requires advance approval from your manager, HR Business Partner, and Legal (for tax and immigration compliance). Approval is not guaranteed and must be obtained at least 3 weeks in advance. See Employee Handbook Section 9.3 for the remote work policy.",Remote Work,Employee Handbook,remote work another country,All,Hard
What is the hybrid work policy at OptiAgent?,OptiAgent operates a hybrid work model. Most roles require 3 days per week in the office (Tuesday through Thursday are company anchor days). Engineering roles may require up to 4 days depending on team needs. Full remote roles are designated at hiring and specified in your offer letter. See Employee Handbook Section 9.2.,Remote Work,Employee Handbook,hybrid work days in office,All,Easy
Can I permanently work fully remote?,Full remote work arrangements are role-specific and determined at the time of hire. Existing employees wishing to transition to full remote must submit a formal request to their HRBP. Approval is at the discretion of the business and requires VP-level sign-off. See Employee Handbook Section 9.4.,Remote Work,Employee Handbook,fully remote work,Engineering,Hard
What are the core office hours?,Core hours are 10:00 AM – 3:00 PM in your local time zone Monday through Friday. Outside of core hours employees have flexibility. Meetings should not be scheduled before 9:00 AM or after 6:00 PM in your local time zone. See Employee Handbook Section 8.1.,General,Employee Handbook,office hours core hours,All,Easy
What is the dress code?,OptiAgent follows a smart-casual dress code in all offices. On days when you have in-person customer or executive meetings formal business attire is expected. Safety-sensitive roles must follow any additional PPE requirements. See Employee Handbook Section 10.,General,Employee Handbook,dress code attire,All,Easy
Where do I find the company holiday calendar?,The full holiday calendar is in the Holiday Calendar document (HR-HC-001) available on the HR Portal in SharePoint. You can also subscribe to the OptiAgent Holidays calendar in Microsoft Outlook.,General,Holiday Calendar,company holidays calendar,All,Easy
Is Good Friday a public holiday?,Good Friday is a public holiday in the UK and Germany. In the USA it is a company observance (half day). It is not a public holiday in India or Singapore for all employees (though some states may observe it). See Holiday Calendar (HR-HC-001) for your office location.,General,Holiday Calendar,Good Friday holiday,All,Easy
Is Diwali a holiday?,Diwali (Naraka Chaturdashi / Lakshmi Puja) is a paid public holiday for all India offices (Bangalore, Hyderabad, Pune). Deepavali is also a paid holiday in Singapore. It is not a declared holiday for USA, UK, or Germany offices but employees may apply for annual leave. See Holiday Calendar (HR-HC-001).,General,Holiday Calendar,Diwali holiday India,All,Easy
When is OptiAgent Founders Day?,OptiAgent Founders Day is observed on June 13 each year in all offices as a full paid company holiday celebrating the founding of OptiAgent Technologies. See Holiday Calendar (HR-HC-001).,General,Holiday Calendar,Founders Day holiday,All,Easy
How many company holidays are there per year?,The total number of holidays varies by country: USA approx 11–12; India approx 16–18 (varies by state/office); UK approx 10–11; Germany approx 11–12; Singapore approx 12–13. See the Holiday Calendar (HR-HC-001) for the exact list for your office.,General,Holiday Calendar,total holidays per year,All,Easy
What salary band is my role?,Salary bands are defined in the Salary Grades document (HR-SG-001) available on the HR Portal. You can also see your personal grade in your employment letter or in the Compensation section of Workday. Contact your HRBP if you have questions.,Compensation,Salary Grades,salary band grade,All,Medium
What is my job level at OptiAgent?,"OptiAgent uses a standardized job level framework: IC1 through IC7 for individual contributors and M1 through M5 for managers. Your level is listed in Workday under ""My Profile > Job."" See Salary Grades (HR-SG-001) for the full level descriptions.",Compensation,Salary Grades,job level IC manager,All,Easy
How are promotions decided?,Promotions are decided through the bi-annual talent review cycle (H1 and H2). Your manager nominates you; calibration is done at the Director level and above. Promotion requires meeting the performance rating threshold for your target level. See Salary Grades (HR-SG-001) Promotion Matrix (Sheet 3) and Employee Handbook Section 14.,Career,Salary Grades,promotion process criteria,All,Medium
What performance rating is required for promotion?,"Generally, a rating of ""Exceeds Expectations"" or above (top 2 out of 5 ratings) for at least one cycle and ""Meets Expectations"" in the current cycle is required. Specific requirements vary by level. See Salary Grades (HR-SG-001) Promotion Matrix.",Career,Salary Grades,performance rating promotion,All,Medium
What bonuses am I eligible for?,Annual performance bonuses are paid in March for the prior fiscal year. Bonus percentages are defined by grade and country in Salary Grades (HR-SG-001) Sheet 4. Entry-level (IC1–IC2) bonuses are 5–8%; senior levels (IC5+) range from 15–30%. Executive bonuses are separate.,Compensation,Salary Grades,bonus eligibility percentage,All,Medium
Am I eligible for stock options?,Stock option eligibility begins at IC4 for individual contributors and M2 for managers. Options vest over 4 years with a 1-year cliff. See Salary Grades (HR-SG-001) Sheet 4 for the full vesting schedule. New option grants are reviewed annually.,Compensation,Salary Grades,stock options eligibility vesting,All,Medium
What is my allowance for mobile phone expenses?,Mobile allowance is defined by grade: IC1–IC3 receive USD 30/month; IC4–IC6 receive USD 50/month; M1–M3 receive USD 60/month; M4+ receive USD 80/month. Country-equivalent amounts are provided. See Salary Grades (HR-SG-001) Sheet 5 (Allowance Policy).,Compensation,Salary Grades,mobile phone allowance,All,Easy
What is the internet allowance for remote employees?,Remote employees (designated full remote in their offer letter) receive an internet allowance of USD 60/month (or country equivalent). This is reimbursed monthly via payroll. Submit the claim in Workday under Expense > Internet Allowance. See Salary Grades (HR-SG-001) Sheet 5.,Compensation,Salary Grades,internet allowance remote,All,Easy
How do I get reimbursed for business expenses?,Submit expense claims in Workday within 30 days of incurring the expense. Attach receipts (PDF or image). Claims must be approved by your manager. See Employee Handbook Section 12 for expense limits by category.,Finance,Employee Handbook,expense reimbursement process,Finance,Easy
What is the policy on meal expenses?,Meals during business travel: up to USD 75/day per diem (or country equivalent). Client meals: up to USD 100 per person with manager pre-approval and a documented business purpose. Meals during internal meetings are not reimbursable unless the meeting lasts over 4 hours or runs through a mealtime. See Employee Handbook Section 12.3.,Finance,Employee Handbook,meal expense reimbursement,Finance,Easy
What is the hotel expense limit for business travel?,Hotel limits by city tier: Tier 1 cities (New York, San Francisco, London, Singapore): USD 300/night. Tier 2 cities: USD 200/night. India offices: INR 10000/night. Book through the Egencia corporate travel portal to automatically apply limits. See Employee Handbook Section 12.4.,Finance,Employee Handbook,hotel travel expense limit,Finance,Medium
Do I need pre-approval for international travel?,Yes. All international business travel requires VP-level pre-approval in Workday before booking. Flights must be booked through Egencia (the company travel portal). Economy class for flights under 6 hours; business class for 6+ hours with Director+ approval. See Employee Handbook Section 12.5.,Finance,Employee Handbook,international travel approval,All,Medium
What is the process for onboarding as a new employee?,The onboarding process starts before your first day with offer acceptance and background check. On Day 1 you will receive your laptop and access credentials. Orientation covers HR policies, IT setup, and security training. Your manager will set up a 30/60/90-day plan. See the full Onboarding Process (HR-OP-001).,Onboarding,Onboarding Process,onboarding process first day,All,Easy
When will I receive my laptop?,Your laptop will be ready on your first day at the office (or shipped to your home address if you are a remote hire). You must log an equipment request through IT at least 5 business days before your start date. See Onboarding Process (HR-OP-001) Section 2.,IT,Onboarding Process,laptop equipment first day,All,Easy
How do I set up my company email?,Your company email account (@optiagent.com) will be created by IT before your start date. You will receive a temporary password via SMS on your personal number provided during onboarding. Log in at login.optiagent.com (Okta) and reset your password on first login. See Onboarding Process (HR-OP-001) Section 3.,IT,Onboarding Process,email setup account creation,IT Operations,Easy
