Country,Office,Holiday Name,Holiday Type,Date,Recurring,Working Day Impact,Notes
USA,New York,New Year's Day,Public Holiday,2025-01-01,Yes,Full Day Off,Federal holiday
USA,San Francisco,New Year's Day,Public Holiday,2025-01-01,Yes,Full Day Off,Federal holiday
USA,Austin,New Year's Day,Public Holiday,2025-01-01,Yes,Full Day Off,Federal holiday
India,Bangalore,New Year's Day,Public Holiday,2025-01-01,Yes,Full Day Off,National holiday
India,Hyderabad,New Year's Day,Public Holiday,2025-01-01,Yes,Full Day Off,National holiday
India,Pune,New Year's Day,Public Holiday,2025-01-01,Yes,Full Day Off,National holiday
UK,London,New Year's Day,Public Holiday,2025-01-01,Yes,Full Day Off,Bank holiday
Germany,Berlin,New Year's Day,Public Holiday,2025-01-01,Yes,Full Day Off,Gesetzlicher Feiertag
Singapore,Singapore,New Year's Day,Public Holiday,2025-01-01,Yes,Full Day Off,National holiday
USA,New York,Martin Luther King Jr. Day,Public Holiday,2025-01-20,Yes,Full Day Off,Third Monday in January
USA,San Francisco,Martin Luther King Jr. Day,Public Holiday,2025-01-20,Yes,Full Day Off,Third Monday in January
USA,Austin,Martin Luther King Jr. Day,Public Holiday,2025-01-20,Yes,Full Day Off,Third Monday in January
India,Bangalore,Makar Sankranti,Public Holiday,2025-01-14,Yes,Full Day Off,Harvest festival; Karnataka
India,Hyderabad,Makar Sankranti,Public Holiday,2025-01-14,Yes,Full Day Off,Harvest festival; Telangana
India,Pune,Makar Sankranti,Public Holiday,2025-01-14,Yes,Full Day Off,Harvest festival; Maharashtra
India,Bangalore,Republic Day,Public Holiday,2025-01-26,Yes,Full Day Off,National holiday
India,Hyderabad,Republic Day,Public Holiday,2025-01-26,Yes,Full Day Off,National holiday
India,Pune,Republic Day,Public Holiday,2025-01-26,Yes,Full Day Off,National holiday
Germany,Berlin,Tag der Deutschen Einheit (German Unity Day),Public Holiday,2025-10-03,Yes,Full Day Off,National holiday
Singapore,Singapore,Chinese New Year Day 1,Public Holiday,2025-01-29,Yes,Full Day Off,Year of the Snake 2025
Singapore,Singapore,Chinese New Year Day 2,Public Holiday,2025-01-30,Yes,Full Day Off,Year of the Snake 2025
USA,New York,Presidents Day,Public Holiday,2025-02-17,Yes,Full Day Off,Third Monday in February
